Player Name,Position,Short Name,F to M,M to F,M to D,D to M,Position (new),Starts,total_points,Points (new position),NAP,NAPPS,Cost,True Cost
Moutinho,3,WOL,,,,,3,33,108,108,42,1.27,55,
Murray,4,BHA,,,,,4,6,16,16,4,0.67,50,
Mustafi,2,ARS,,,,,2,13,41,41,15,1.15,50,
Muto,4,NEW,,,,,4,1,2,2,0,0.00,50,
Nakamba,3,AVL,,,,,3,18,35,35,-1,-0.06,45,
Ndidi,3,LEI,,,,,3,29,82,82,24,0.83,50,
Ndombele,3,TOT,,,,,3,8,31,31,15,1.88,60,
Nelson,3,ARS,,,,,3,4,12,12,4,1.00,55,
Neto,3,WOL,,,,,3,6,22,22,10,1.67,55,
Neves,3,WOL,,,,,3,32,91,91,27,0.84,55,
Ngakia,2,WHU,,,,,2,5,8,8,-2,-0.40,#N/A,
Nketiah,4,ARS,,,,,4,6,21,21,9,1.50,60,
Noble,3,WHU,,,,,3,30,102,102,42,1.40,50,
Norwood,3,SHU,,,,,3,35,95,95,25,0.71,50,
Nyland,1,AVL,,,,,1,6,14,14,2,0.33,40,
Obafemi,4,SOU,,,,,4,5,23,23,13,2.60,50,
O'Connell,2,SHU,,,,,2,32,110,110,46,1.44,50,
Ogbonna,2,WHU,,,,,2,31,81,81,19,0.61,50,
Origi,4,LIV,,,,,4,5,40,40,30,6.00,55,
Oriol Romeu,3,SOU,,,,,3,20,42,42,2,0.10,45,
Osborn,3,SHU,,,,,3,4,10,10,2,0.50,50,
Otamendi,2,MCI,,,,,2,18,70,70,34,1.89,50,
Özil,3,ARS,,,,,3,16,51,51,19,1.19,70,
Patrício,1,WOL,,,,,1,38,153,153,77,2.03,55,
Pedro,3,CHE,,,,,3,8,29,29,13,1.63,#N/A,
Pépé,3,ARS,1,,,,3,22,98,108,64,2.91,80,
Pereira,2,LEI,,,,,2,28,123,123,67,2.39,50,
Pereira,3,MUN,,,,,3,17,53,53,19,1.12,50,
Pereyra,3,WAT,,,,,3,16,38,38,6,0.38,#N/A,
Pérez,3,LEI,,,,,3,23,116,116,70,3.04,65,
Pickford,1,EVE,,,,,1,38,117,117,41,1.08,50,
Pieters,2,BUR,,,,,2,19,74,74,36,1.89,45,
Podence,3,WOL,,,,,3,3,19,19,13,4.33,55,
Pogba,3,MUN,,,,,3,13,45,45,19,1.46,80,
Pope,1,BUR,,,,,1,38,170,170,94,2.47,55,
Praet,3,LEI,,,,,3,10,37,37,17,1.70,55,
Pröpper,3,BHA,,,,,3,30,73,73,13,0.43,50,
Pukki,4,NOR,,,,,4,32,135,135,71,2.22,#N/A,
Pulisic,3,CHE,,,,,3,19,104,104,66,3.47,85,
Ramsdale,1,BOU,,,,,1,37,126,126,52,1.41,50,
Randolph,1,WHU,,,,,1,2,3,3,-1,-0.50,45,
Rashford,4,MUN,,1,,,4,30,165,141,81,2.70,95,
Redmond,3,SOU,,,,,3,30,106,106,46,1.53,65,
Reina,1,AVL,,,,,1,12,41,41,17,1.42,#N/A,
Rice,3,WHU,,,,,3,38,105,105,29,0.76,50,
Richarlison,3,EVE,,,,,3,35,159,159,89,2.54,80,
Rico,2,BOU,,,,,2,26,85,85,33,1.27,#N/A,
Riedewald,3,CRY,,,,,3,5,10,10,0,0.00,45,
Ritchie,2,NEW,,,,,2,15,73,73,43,2.87,50,
Roberto,1,WHU,,,,,1,7,16,16,2,0.29,45,
Robertson,2,LIV,,,,,2,34,175,175,107,3.15,70,
Rodrigo,3,MCI,,,,1,3,25,80,43,-7,-0.28,55,
Rodriguez,4,BUR,,,,,4,18,72,72,36,2.00,60,
Rojo,2,MUN,,,,,2,1,2,2,0,0.00,50,
Rose,2,NEW,,,,,2,20,44,44,4,0.20,50,
Rüdiger,2,CHE,,,,,2,18,61,61,25,1.39,50,
Rupp,3,NOR,,,,,3,7,14,14,0,0.00,#N/A,
Ryan,1,BHA,,,,,1,38,135,135,59,1.55,45,
Saint-Maximin,3,NEW,,,,,3,21,87,87,45,2.14,55,
Saïss,2,WOL,,,,,2,29,94,94,36,1.24,50,
Saka,3,ARS,,,,,3,17,64,64,30,1.76,55,
Sakho,2,CRY,,,,,2,9,9,9,-9,-1.00,45,
Salah,3,LIV,,,,,3,33,232,232,166,5.03,120,
Samatta,4,AVL,,,,,4,10,25,25,5,0.50,60,
Sánchez,2,TOT,,,,,2,26,62,62,10,0.38,55,
Sarr,3,WAT,,,,,3,21,100,100,58,2.76,#N/A,
Schär,2,NEW,,,,,2,18,49,49,13,0.72,50,
Schelotto,2,BHA,,,,,2,4,6,6,-2,-0.50,#N/A,
Schlupp,3,CRY,1,,,,3,10,39,45,25,2.50,55,
Schmeichel,1,LEI,,,,,1,38,156,156,80,2.11,55,
Schneiderlin,3,EVE,,,,,3,9,14,14,-4,-0.44,#N/A,
Sessegnon,3,TOT,,,,,3,3,6,6,0,0.00,45,
Shaqiri,3,LIV,,,,,3,2,10,10,6,3.00,65,
Sharp,4,SHU,,,,,4,9,34,34,16,1.78,60,
Shaw,2,MUN,,,,,2,19,63,63,25,1.32,50,
Shelvey,3,NEW,,,,,3,23,102,102,56,2.43,55,
Sidibé,2,EVE,,,,,2,19,70,70,32,1.68,#N/A,
Sigurdsson,3,EVE,,,,,3,28,83,83,27,0.96,70,
Simpson,2,BOU,,,,,2,2,3,3,-1,-0.50,#N/A,
Sissoko,3,TOT,,,,,3,28,68,68,12,0.43,50,
Smallbone,3,SOU,,,,,3,5,20,20,10,2.00,45,
Smith Rowe,3,ARS,,,,,3,1,3,3,1,1.00,45,
Snodgrass,3,WHU,,,,,3,16,80,80,48,3.00,60,
Sokratis,2,ARS,,,,,2,19,57,57,19,1.00,50,
Solanke,4,BOU,,,,,4,17,54,54,20,1.18,#N/A,
Son,3,TOT,,,,,3,28,167,167,111,3.96,90,
Soucek,3,WHU,,,,,3,11,39,39,17,1.55,50,
Söyüncü,2,LEI,,,,,2,34,120,120,52,1.53,55,
Stacey,2,BOU,,,,,2,17,37,37,3,0.18,#N/A,
Stanislas,3,BOU,,,,,3,7,20,20,6,0.86,#N/A,
Stephens,3,BHA,,,,,3,28,58,58,2,0.07,45,
Stephens,2,SOU,,,,,2,27,86,86,32,1.19,45,
Sterling,3,MCI,,,,,3,29,191,191,133,4.59,115,
Steve Cook,2,BOU,,,,,2,26,52,52,0,0.00,#N/A,
Stevens,2,SHU,,,,,2,37,135,135,61,1.65,45,
